,Date,ID,URL,Username,Source,Location,text,Num_Of_Likes,Num_Of_Retwwet
856,2022-12-05 19:46:02+00:00,1.59985E+18,https://twitter.com/socsecurityguy/status/1599852619396222977,socsecurityguy,SSOM Share,"New Berlin, IL",Review: American Airlines Business Class 777-200 - NYC to Buenos Aires #PFshare via @APurpleLifeBlog https://t.co/YJ290Vzt9S,0,0
857,2022-12-05 19:40:39+00:00,1.59985E+18,https://twitter.com/wawd_pod/status/1599851261137981456,wawd_pod,RepurposeIO,Central PA,"ITS CRAZY SPIRIT AIRLINES DOES THIS!? #spiritairlines #Review #comedy #podcast

via: @levi_mccurdy https://t.co/nkWCPIe5S1",2,0
858,2022-12-05 18:30:10+00:00,1.59983E+18,https://twitter.com/flightwit/status/1599833523426410508,flightwit,SocialOomph,800 332-7359 • Get free app at,Fear of flying help you can trust. Check our reviews on BBB at https://t.co/DmgTg0Cw8c  #travel #airlines https://t.co/k9sYs0P3h3,1,0
859,2022-12-05 17:46:19+00:00,1.59982E+18,https://twitter.com/homeworkhurdle/status/1599822488027901952,homeworkhurdle,Revive Social App,,REVIEW OF DELTA AIRLINES:? Delta Airlines is one of the most famous airlines in the United States and offers https://t.co/51TMyqIJXI,0,0
860,2022-12-05 16:01:07+00:00,1.5998E+18,https://twitter.com/Q_Review_/status/1599796015774810112,Q_Review_,Hootsuite Inc.,,"Are you travelling abroad this Christmas? There could be problems.
https://t.co/DoWvfRmf7s
#airports #delays #airlines #qreview",1,1
861,2022-12-05 15:59:28+00:00,1.5998E+18,https://twitter.com/AntonExplores/status/1599795599930294275,AntonExplores,Twitter for Android,"Florida, USA","I flew Gol Airlines 6 times in 2022. It’s the only Brazilian airline that I’ve used to date. I’ve decided to make a review of it, since now I’m a “qualified” passenger to judge this airline after all those flights.  https://t.co/eANMgSqTq2",0,0
862,2022-12-05 14:38:32+00:00,1.59978E+18,https://twitter.com/ThisLifeinTrips/status/1599775232033701890,ThisLifeinTrips,Jetpack.com,Snapchat me -- lifeintrips,"With Antalya being one of the busiest tourist destinations in Turkey, I was excited to check out the Turkish Airlines CIP Lounge at the airport. Here's my full review. @turkishairlines #turkishair #businessclass #travel https://t.co/8SF4YkCkP9",0,0
863,2022-12-05 12:52:29+00:00,1.59975E+18,https://twitter.com/DineshPattanayk/status/1599748543459504129,DineshPattanayk,Twitter Web App,,"@IndiGo6E @RanaDaggubati Great to see all these reviews.  Karma catches up pretty fast. Arrogant staff, unethical practices and immoral people running this shitty airline. It's a disgrace to be traveling with them due to their monopoly in certain routes.",0,0
864,2022-12-05 11:55:10+00:00,1.59973E+18,https://twitter.com/Poynep1/status/1599734121567514624,Poynep1,Twitter for iPad,,@flightradar24 @Finnair Terrible customer service isn’t new to Finnair either.  The awful reviews on several websites go back some time and the clear message is don’t use the airline from HEL!,0,0
865,2022-12-05 07:34:24+00:00,1.59967E+18,https://twitter.com/dss142000/status/1599668494047809537,dss142000,Twitter for Android,"Pune, India","Very important to add adequate fleet for both domestic and international routes. Overhead charges for cost per km of flying,needs closer review. Fail to understand,why airlines r suffering losses, with almost all routes  showing robust load factor. #AvGeek @iloveleen https://t.co/DqIupY8TXM",0,0
